Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709052113,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709052114,10,,Aggregated,0.000000,0.000000,11,15,17,20,25,30,40,48,75,75,75,699,0,11,14.068075165950292,6.069479999951,74.87721699999383,15.0
1709052115,20,,Aggregated,0.000000,0.000000,16,23,28,33,48,63,82,91,140,160,160,1276,0,16,22.953720083068557,6.069479999951,157.71573999973043,15.0
1709052116,30,,Aggregated,684.000000,0.000000,22,33,42,49,74,97,130,160,230,280,280,1760,0,22,33.226922355105586,6.069479999951,283.95398700013175,15.0
1709052117,40,,Aggregated,633.000000,0.000000,28,43,56,65,98,130,180,210,350,430,430,2246,0,28,43.2851469421104,6.069479999951,432.56586600000446,15.0
1709052118,50,,Aggregated,582.666667,0.000000,34,52,68,80,120,160,220,270,480,750,750,2737,0,34,53.188809615631165,6.069479999951,749.0334539998003,15.0
1709052119,60,,Aggregated,558.750000,0.000000,40,63,82,97,140,190,260,320,500,750,750,3212,0,40,62.920458081873655,6.069479999951,749.0334539998003,15.0
1709052120,70,,Aggregated,544.800000,0.000000,47,73,95,110,160,230,320,390,750,910,910,3732,0,47,73.15770267577143,6.069479999951,911.3521509998463,15.0
1709052121,80,,Aggregated,532.500000,0.000000,51,80,110,120,190,270,370,430,750,910,910,4197,0,51,82.29639121014573,6.069479999951,911.3521509998463,15.0
1709052122,90,,Aggregated,531.285714,0.000000,57,91,120,140,210,300,420,510,870,1100,1100,4664,0,57,92.87149468653124,6.069479999951,1052.709104999849,15.0
1709052123,100,,Aggregated,522.875000,0.000000,63,100,130,160,240,340,480,560,940,1300,1300,5134,0,63,103.47347619282867,6.069479999951,1299.0489139997408,15.0
1709052124,110,,Aggregated,516.777778,0.000000,68,110,140,170,270,380,520,630,1000,1300,1300,5588,0,68,113.66039914673968,6.069479999951,1299.0489139997408,15.0
1709052125,120,,Aggregated,511.800000,0.000000,74,120,160,190,300,420,560,740,1100,1700,1700,6012,0,74,125.21466335295767,6.069479999951,1670.7298080000328,15.0
1709052126,130,,Aggregated,488.700000,0.000000,79,130,170,210,330,450,630,760,1100,1700,1700,6516,0,79,135.3843005586218,6.069479999951,1670.7298080000328,15.0
1709052127,140,,Aggregated,472.900000,0.000000,86,140,190,220,350,490,670,800,1300,1700,1700,6983,0,86,145.2017540488303,6.069479999951,1722.545670999807,15.0
1709052128,150,,Aggregated,475.100000,0.000000,92,150,200,240,380,520,730,870,1400,1700,1700,7406,0,92,156.17851827815008,6.069479999951,1722.545670999807,15.0
1709052129,160,,Aggregated,473.000000,0.000000,97,160,220,260,410,550,780,920,1400,1900,1900,7847,0,97,167.05660499196904,6.069479999951,1898.6974960002954,15.0
1709052130,170,,Aggregated,466.600000,0.000000,100,170,230,280,440,600,830,1000,1600,2000,2000,8276,0,100.0,178.16360323513553,6.069479999951,1999.9374250000983,15.0
1709052131,180,,Aggregated,463.100000,0.000000,110,180,250,300,470,640,880,1100,1700,2000,2000,8690,0,110.0,188.8606828047169,6.069479999951,1999.9374250000983,15.0
1709052132,190,,Aggregated,453.500000,0.000000,120,190,260,320,500,680,940,1100,1700,2700,2700,9143,0,120.0,200.5166789035321,6.069479999951,2664.6256560002257,15.0
1709052133,200,,Aggregated,448.700000,0.000000,120,200,280,330,520,720,970,1200,1800,2700,2700,9570,0,120.0,210.4424742910132,6.069479999951,2664.6256560002257,15.0
1709052134,200,,Aggregated,446.500000,0.000000,130,210,290,350,540,750,1000,1300,1900,2700,2700,10061,0,130.0,220.96167070629164,6.069479999951,2703.1180039998617,15.0
1709052135,200,,Aggregated,443.500000,0.000000,130,220,300,370,560,780,1100,1300,2100,2700,2900,10527,0,130.0,230.45230198261604,6.069479999951,2911.5539529998387,15.0
1709052136,200,,Aggregated,446.100000,0.000000,140,230,320,380,590,810,1100,1300,2100,2700,2900,10924,0,140.0,239.3302607254666,6.069479999951,2911.5539529998387,15.0
1709052137,200,,Aggregated,450.700000,0.000000,140,240,330,390,610,840,1200,1400,2200,2900,2900,11254,0,140.0,248.63672647636417,6.069479999951,2911.5539529998387,15.0
1709052138,200,,Aggregated,440.200000,0.000000,150,250,340,410,640,880,1200,1400,2300,2900,3300,11604,0,150.0,258.7277693298865,6.069479999951,3263.3228710001276,15.0
1709052139,200,,Aggregated,427.300000,0.000000,150,260,350,420,660,910,1300,1500,2400,3100,3300,11955,0,150.0,267.2927886072768,6.069479999951,3263.3228710001276,15.0
1709052140,200,,Aggregated,418.800000,0.000000,160,270,370,440,680,940,1300,1500,2500,3300,4100,12315,0,160.0,275.9063671689798,6.069479999951,4082.3772119997557,15.0
1709052141,200,,Aggregated,411.000000,0.000000,160,270,370,450,710,970,1300,1600,2700,3700,4100,12753,0,160.0,284.42770269144376,6.069479999951,4082.3772119997557,15.0
1709052142,200,,Aggregated,403.700000,0.000000,170,280,380,460,720,970,1300,1600,2700,3700,4100,13223,0,170.0,289.81498791514616,6.069479999951,4082.3772119997557,15.0
1709052143,200,,Aggregated,405.100000,0.000000,170,290,390,470,720,980,1300,1600,2700,3700,4100,13689,0,170.0,293.82220350135,6.069479999951,4082.3772119997557,15.0
1709052144,200,,Aggregated,407.400000,0.000000,180,300,400,480,730,990,1400,1600,2700,3700,4100,14110,0,180.0,299.01863784365526,6.069479999951,4082.3772119997557,15.0
1709052145,200,,Aggregated,409.900000,0.000000,180,300,410,490,740,1000,1400,1700,2700,3700,4100,14574,0,180.0,303.75057783628154,6.069479999951,4082.3772119997557,15.0
1709052146,200,,Aggregated,405.300000,0.000000,180,310,410,500,750,1000,1400,1700,2700,3700,4100,15020,0,180.0,307.93507645858654,6.069479999951,4082.3772119997557,15.0
1709052147,200,,Aggregated,403.400000,0.000000,190,310,420,500,750,1000,1400,1700,2700,3700,4100,15455,0,190.0,312.21730931064207,6.069479999951,4082.3772119997557,15.0
1709052148,200,,Aggregated,408.100000,0.000000,190,320,420,510,760,1000,1400,1700,2700,3700,4100,15888,0,190.0,316.43501336807503,6.069479999951,4082.3772119997557,15.0
1709052149,200,,Aggregated,417.800000,0.000000,200,320,430,510,770,1000,1400,1700,2700,3700,4100,16326,0,200.0,319.80469709714544,6.069479999951,4082.3772119997557,15.0
1709052150,200,,Aggregated,427.200000,0.000000,200,330,440,520,780,1000,1400,1700,2700,3700,4100,16781,0,200.0,323.41909814969296,6.069479999951,4082.3772119997557,15.0
1709052151,200,,Aggregated,436.200000,0.000000,200,330,440,520,780,1100,1400,1700,2700,3700,4100,17224,0,200.0,326.8290627348465,6.069479999951,4082.3772119997557,15.0
1709052152,200,,Aggregated,444.600000,0.000000,200,340,450,530,790,1100,1400,1700,2700,3700,4100,17668,0,200.0,329.74508074422636,6.069479999951,4082.3772119997557,15.0
1709052153,200,,Aggregated,446.600000,0.000000,210,340,450,530,800,1100,1400,1700,2800,3800,4100,18110,0,210.0,332.85683688796166,6.069479999951,4082.3772119997557,15.0
1709052154,200,,Aggregated,443.900000,0.000000,210,350,460,540,800,1100,1400,1700,2800,3800,4100,18518,0,210.0,336.59169079284925,6.069479999951,4082.3772119997557,15.0
1709052155,200,,Aggregated,441.200000,0.000000,210,350,460,540,810,1100,1400,1700,2800,3800,4100,18803,0,210.0,338.7051612194322,6.069479999951,4082.3772119997557,15.0
1709052156,200,,Aggregated,437.700000,0.000000,220,350,470,550,820,1100,1500,1800,2800,3800,4100,18995,0,220.0,344.20662935451355,6.069479999951,4082.3772119997557,15.0
1709052157,200,,Aggregated,425.100000,0.000000,220,360,470,560,840,1100,1500,1800,2900,3800,4100,19188,0,220.0,350.1767688408895,6.069479999951,4082.3772119997557,15.0
1709052158,200,,Aggregated,399.500000,0.000000,220,360,480,570,850,1100,1600,1900,3100,4600,4600,19376,0,220.0,357.59992703019134,6.069479999951,4642.832932000147,15.0
1709052159,200,,Aggregated,375.300000,0.000000,220,370,490,570,870,1200,1600,2000,3500,5200,5600,19570,0,220.0,363.82959384695937,6.069479999951,5602.223963000142,15.0
1709052160,200,,Aggregated,350.900000,0.000000,230,370,500,580,890,1200,1700,2000,3600,5600,5800,19903,0,230.0,372.4612861090786,6.069479999951,5803.731849000087,15.0
1709052161,200,,Aggregated,325.100000,0.000000,230,370,500,590,890,1200,1700,2100,3600,5200,5800,20340,0,230.0,374.9239649093412,6.069479999951,5803.731849000087,15.0
1709052162,200,,Aggregated,311.200000,0.000000,230,380,500,590,890,1200,1700,2100,3600,5200,5800,20782,0,230.0,376.80290840645773,6.069479999951,5803.731849000087,15.0
1709052163,200,,Aggregated,310.000000,0.000000,230,380,500,590,900,1200,1700,2100,3600,5200,5800,21170,0,230.0,378.5574759370808,6.069479999951,5803.731849000087,15.0
1709052164,200,,Aggregated,310.200000,0.000000,240,380,510,600,900,1200,1700,2100,3600,5200,5800,21435,0,240.0,381.8810682112434,6.069479999951,5803.731849000087,15.0
1709052165,200,,Aggregated,308.200000,0.000000,240,390,510,610,910,1200,1700,2100,3600,5200,5800,21687,0,240.0,386.14934251274974,6.069479999951,5803.731849000087,15.0
