Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709051326,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709051327,10,,Aggregated,0.000000,0.000000,11,14,17,19,26,33,42,47,100,100,100,695,0,11,14.181339369780755,5.513927000265539,103.80534599971725,15.0
1709051328,20,,Aggregated,0.000000,0.000000,16,22,27,31,43,56,74,89,110,120,120,1376,0,16,21.376320765986897,5.513927000265539,115.05767499966169,15.0
1709051329,30,,Aggregated,376.000000,0.000000,20,29,36,41,58,77,100,120,190,260,260,2067,0,20,28.325451064341994,5.513927000265539,256.0346249997565,15.0
1709051330,40,,Aggregated,529.000000,0.000000,24,36,46,54,77,100,140,170,270,400,400,2688,0,24,35.839136114581656,5.513927000265539,397.4787550000656,15.0
1709051331,50,,Aggregated,582.666667,0.000000,27,41,53,63,100,160,260,360,710,810,810,2895,0,27,47.95945680310764,5.513927000265539,808.8333740001872,15.0
1709051332,60,,Aggregated,606.000000,0.000000,29,47,62,77,140,240,380,520,840,1100,1100,3104,0,29,61.58372226932882,5.513927000265539,1115.2412930000537,15.0
1709051333,70,,Aggregated,559.600000,0.000000,32,53,75,96,190,340,530,690,1400,1800,1800,3307,0,32,78.62050248866039,5.513927000265539,1776.772546000302,15.0
1709051334,80,,Aggregated,501.333333,0.000000,35,60,91,120,250,400,650,820,1600,1800,1800,3508,0,35,94.8564531294189,5.513927000265539,1776.772546000302,15.0
1709051335,90,,Aggregated,459.000000,0.000000,39,72,110,150,330,520,750,940,1600,1900,1900,3732,0,39,114.37667862111535,5.513927000265539,1899.6951960002662,15.0
1709051336,100,,Aggregated,426.625000,0.000000,47,91,140,180,340,530,790,980,1700,1900,1900,4219,0,47,126.01553272102325,5.513927000265539,1899.6951960002662,15.0
1709051337,110,,Aggregated,400.444444,0.000000,55,110,170,210,360,560,790,980,1700,1900,1900,4672,0,55,136.786795286816,5.513927000265539,1899.6951960002662,15.0
1709051338,120,,Aggregated,400.100000,0.000000,63,130,190,230,390,560,790,980,1600,1900,1900,5139,0,63,147.01586486281514,5.513927000265539,1899.6951960002662,15.0
1709051339,130,,Aggregated,407.900000,0.000000,74,140,210,260,410,580,820,980,1700,1900,1900,5613,0,74,158.11158299429957,5.513927000265539,1906.6377300000568,15.0
1709051340,140,,Aggregated,385.000000,0.000000,83,160,220,280,430,600,850,1000,1600,1900,1900,6060,0,83,166.86383948993512,5.513927000265539,1906.6377300000568,15.0
1709051341,150,,Aggregated,363.100000,0.000000,93,170,240,300,460,630,870,1000,1600,1900,1900,6530,0,93,177.96063849494686,5.513927000265539,1906.6377300000568,15.0
1709051342,160,,Aggregated,341.300000,0.000000,100,180,260,310,480,650,890,1100,1600,1900,1900,7003,0,100.0,186.68611812737373,5.513927000265539,1906.6377300000568,15.0
1709051343,170,,Aggregated,350.200000,0.000000,110,200,270,330,490,680,930,1100,1800,2200,2200,7456,0,110.0,197.16601081813283,5.513927000265539,2159.6497329996964,15.0
