Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1708633460,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1708633461,5,,Aggregated,0.000000,0.000000,72,93,96,98,100,100,110,160,160,160,160,59,59,72,80.83972003389475,57.787591999840515,159.11404300004506,136.0
1708633462,10,,Aggregated,0.000000,0.000000,100,160,160,160,170,180,190,210,280,280,280,119,119,100.0,118.69096589917649,57.787591999840515,278.5770840000623,136.0
1708633463,15,,Aggregated,41.000000,41.000000,160,170,220,220,250,260,280,350,450,450,450,180,180,160.0,156.13915401111424,57.787591999840515,454.0100779995555,136.0
1708633464,20,,Aggregated,51.500000,51.500000,170,230,260,260,320,330,390,450,600,600,600,240,240,170.0,193.08403400416788,57.787591999840515,598.8889379996181,136.0
1708633465,25,,Aggregated,55.000000,55.000000,220,280,320,330,370,400,450,600,820,820,820,297,297,220.0,228.43184437711554,57.787591999840515,815.9690279999268,136.0
1708633466,30,,Aggregated,55.000000,55.000000,260,330,370,380,440,520,560,650,930,930,930,357,357,260.0,270.23361124370734,57.787591999840515,926.6389719996369,136.0
1708633467,35,,Aggregated,56.800000,56.800000,310,380,430,480,540,560,620,790,1100,1100,1100,412,412,310.0,309.5701501043699,57.787591999840515,1081.3042460003999,136.0
1708633468,40,,Aggregated,56.833333,56.833333,320,430,520,540,620,660,680,930,1200,1200,1200,466,466,320.0,349.2277145128804,57.787591999840515,1242.7834430000075,136.0
1708633469,45,,Aggregated,57.571429,57.571429,370,500,580,620,660,730,820,1000,1400,1400,1400,528,528,370.0,392.1884628996222,57.787591999840515,1412.2715399998924,136.0
1708633470,50,,Aggregated,57.125000,57.125000,420,580,640,660,730,770,920,1100,1500,1500,1500,597,597,420.0,433.0007199648209,57.787591999840515,1519.5145149991731,136.0
1708633471,55,,Aggregated,56.222222,56.222222,480,630,670,710,750,810,960,1200,1600,1600,1600,647,647,480.0,462.7654152179302,57.787591999840515,1616.374618000009,136.0
1708633472,60,,Aggregated,57.300000,57.300000,530,660,720,750,840,910,1100,1200,1900,1900,1900,715,715,530.0,506.0690402517505,57.787591999840515,1910.4018340003677,136.0
1708633473,65,,Aggregated,59.300000,59.300000,560,680,750,830,910,940,1100,1400,1900,1900,1900,774,774,560.0,540.9765200142099,57.787591999840515,1910.4018340003677,136.0
1708633474,70,,Aggregated,59.800000,59.800000,620,730,830,890,980,1000,1200,1500,2200,2200,2200,837,837,620.0,582.3034305854211,57.787591999840515,2177.1838699996806,136.0
1708633475,75,,Aggregated,59.400000,59.400000,640,780,890,930,1100,1100,1200,1700,2400,2400,2400,904,904,640.0,625.1530586028736,57.787591999840515,2421.2332750003043,136.0
1708633476,80,,Aggregated,59.400000,59.400000,660,830,910,980,1100,1100,1400,1800,2500,2500,2500,939,939,660.0,646.6125257955224,57.787591999840515,2519.608584000707,136.0
1708633477,85,,Aggregated,58.500000,58.500000,680,870,980,1100,1100,1200,1400,1900,2700,3000,3000,1012,1012,680.0,689.1086346976238,57.787591999840515,3038.5622720004903,136.0
1708633478,90,,Aggregated,59.800000,59.800000,730,920,1100,1100,1200,1200,1600,2300,3300,3300,3300,1089,1089,730.0,733.1995457043124,57.787591999840515,3270.6321370005753,136.0
1708633479,95,,Aggregated,59.800000,59.800000,730,980,1100,1100,1200,1300,1600,2400,3500,3500,3500,1129,1129,730.0,755.8796901062902,57.787591999840515,3544.988310000008,136.0
1708633480,100,,Aggregated,59.300000,59.300000,780,1000,1100,1200,1300,1400,1700,2600,3900,4200,4200,1191,1191,780.0,794.5136611452571,57.787591999840515,4217.224658999839,136.0
1708633481,105,,Aggregated,62.300000,62.300000,830,1100,1100,1200,1400,1500,1800,2900,4700,4800,4800,1255,1255,830.0,837.1649309553786,57.787591999840515,4788.08724999999,136.0
1708633482,110,,Aggregated,62.300000,62.300000,840,1100,1200,1200,1500,1500,1900,3000,4700,4800,4800,1299,1299,840.0,865.0404303979977,57.787591999840515,4788.08724999999,136.0
1708633483,115,,Aggregated,58.100000,58.100000,890,1100,1200,1300,1500,1500,1900,3300,5400,6000,6000,1367,1367,890.0,907.8246902033653,57.787591999840515,5992.484583999612,136.0
1708633484,120,,Aggregated,59.800000,59.800000,910,1100,1200,1400,1500,1700,2000,3300,5900,6000,6000,1413,1413,910.0,937.6784356093472,57.787591999840515,5992.484583999612,136.0
1708633485,125,,Aggregated,58.500000,58.500000,980,1200,1400,1500,1700,1700,2200,3900,6700,6900,6900,1485,1485,980.0,984.3954394828362,57.787591999840515,6891.491129000315,136.0
1708633486,130,,Aggregated,58.500000,58.500000,1000,1200,1400,1500,1700,1700,2300,4000,6800,6900,6900,1534,1534,990.0,1012.8173120325976,57.787591999840515,6891.491129000315,136.0
1708633487,135,,Aggregated,58.500000,58.500000,1000,1200,1500,1500,1700,1700,2400,4400,7400,7600,7600,1584,1584,1000.0,1042.7179430195722,57.787591999840515,7637.007053000161,136.0
1708633488,140,,Aggregated,56.700000,56.700000,1100,1300,1500,1500,1700,1700,2500,4600,7600,8200,8200,1635,1635,1100.0,1071.614743722325,57.787591999840515,8243.322860999797,136.0
1708633489,145,,Aggregated,57.000000,57.000000,1100,1400,1500,1600,1700,1700,2500,4800,8200,8400,8400,1687,1687,1100.0,1099.351897340843,57.787591999840515,8378.934593999475,136.0
1708633490,150,,Aggregated,57.200000,57.200000,1100,1400,1500,1700,1700,1800,2600,5200,9100,9400,9400,1740,1740,1100.0,1130.6461695844846,57.787591999840515,9401.973338999596,136.0
1708633491,155,,Aggregated,58.500000,58.500000,1100,1500,1600,1700,1700,2100,2700,5400,9400,9600,9600,1794,1794,1100.0,1169.98349023077,57.787591999840515,9605.820817999302,136.0
1708633492,160,,Aggregated,55.800000,55.800000,1100,1500,1700,1700,1800,2200,2900,5900,10000,11000,11000,1849,1849,1100.0,1210.8681460508392,57.787591999840515,10661.240675000045,136.0
1708633493,165,,Aggregated,57.900000,57.900000,1200,1500,1700,1700,2100,2200,2900,6000,11000,11000,11000,1905,1905,1200.0,1246.5346188692936,57.787591999840515,11356.272820999948,136.0
1708633494,170,,Aggregated,57.900000,57.900000,1200,1500,1700,1700,2100,2200,2900,6600,11000,12000,12000,1962,1962,1200.0,1277.4442460530095,57.787591999840515,11652.472082000713,136.0
1708633495,175,,Aggregated,55.000000,55.000000,1200,1600,1700,1700,2100,2200,3000,6700,12000,13000,13000,2020,2020,1200.0,1305.598945373271,57.787591999840515,12636.684193999827,136.0
1708633496,180,,Aggregated,53.300000,53.300000,1200,1700,1700,1800,2100,2200,3300,6900,12000,13000,13000,2079,2079,1200.0,1334.6315930601304,57.787591999840515,12664.741002000483,136.0
1708633497,185,,Aggregated,57.200000,57.200000,1300,1700,1700,1900,2100,2200,3300,7400,13000,14000,14000,2139,2139,1300.0,1363.8146338251584,57.787591999840515,13636.977408999883,136.0
1708633498,190,,Aggregated,58.300000,58.300000,1400,1700,1800,1900,2000,2200,3300,7600,14000,14000,14000,2200,2200,1300.0,1390.7841231572775,57.787591999840515,14161.633499000345,136.0
1708633499,195,,Aggregated,57.000000,57.000000,1400,1700,1800,1900,2000,2200,3300,8100,14000,15000,15000,2262,2262,1400.0,1417.2880671087562,57.787591999840515,14617.502041999614,136.0
1708633500,200,,Aggregated,55.500000,55.500000,1500,1700,1900,2000,2000,2200,3500,8200,15000,16000,16000,2325,2325,1500.0,1444.0870517075307,57.787591999840515,15599.432254999556,136.0
1708633501,200,,Aggregated,56.500000,56.500000,1500,1700,1900,2000,2000,2200,3500,9100,15000,16000,16000,2389,2389,1500.0,1470.8380621896224,57.787591999840515,15655.52296199985,136.0
