Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1708633580,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1708633581,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1708633582,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1708633583,15,,Aggregated,0.000000,0.000000,39,40,41,41,44,45,1300,2200,2600,2600,2600,354,354,39,83.59405438979573,3.328333000354178,2559.0190209995853,136.0
1708633584,20,,Aggregated,0.000000,0.000000,39,43,45,45,47,49,75,1300,2600,2600,2600,976,976,39,50.205600721305295,3.328333000354178,2559.0190209995853,136.0
1708633585,25,,Aggregated,5.333333,5.333333,39,44,45,46,48,50,65,75,2300,2600,2600,1632,1632,39,44.99527077327588,3.328333000354178,2559.0190209995853,136.0
1708633586,30,,Aggregated,133.000000,133.000000,42,45,47,48,53,70,75,78,2300,2600,2600,2228,2228,42,46.03992800941506,3.328333000354178,2559.0190209995853,136.0
1708633587,35,,Aggregated,232.600000,232.600000,44,47,50,53,58,72,77,93,2300,2600,2600,2880,2880,44,47.65528415138131,3.328333000354178,2559.0190209995853,136.0
1708633588,40,,Aggregated,302.666667,302.666667,46,50,54,57,62,70,76,87,2200,2600,2600,3558,3558,46,49.332388193642046,3.328333000354178,2559.0190209995853,136.0
1708633589,45,,Aggregated,340.571429,340.571429,48,55,59,61,68,73,79,83,2200,2600,2600,4235,4235,48,51.856398521600816,3.328333000354178,2559.0190209995853,136.0
1708633590,50,,Aggregated,382.750000,382.750000,51,59,64,67,74,78,82,98,2200,2600,2600,4898,4898,51,54.72300815985584,3.328333000354178,2559.0190209995853,136.0
1708633591,55,,Aggregated,416.888889,416.888889,55,63,69,72,79,86,100,110,1300,2600,2600,5547,5547,55,57.91865548999145,3.328333000354178,2559.0190209995853,136.0
1708633592,60,,Aggregated,441.500000,441.500000,58,68,74,77,86,92,100,110,1300,2600,2600,6233,6233,58,61.04998835376301,3.328333000354178,2559.0190209995853,136.0
1708633593,65,,Aggregated,508.800000,508.800000,61,73,79,82,91,98,110,110,1300,2600,2600,6908,6908,61,64.0511703873769,3.328333000354178,2559.0190209995853,136.0
1708633594,70,,Aggregated,572.500000,572.500000,65,77,85,89,98,100,110,120,1300,2600,2600,7585,7585,65,67.28305233368496,3.328333000354178,2559.0190209995853,136.0
1708633595,75,,Aggregated,639.000000,639.000000,69,82,90,94,100,110,110,120,1300,2600,2600,8309,8309,69,70.44354800457182,3.328333000354178,2559.0190209995853,136.0
1708633596,80,,Aggregated,656.300000,656.300000,72,88,95,99,110,110,120,120,1300,2600,2600,9005,9005,72,73.54506361610035,3.328333000354178,2559.0190209995853,136.0
1708633597,85,,Aggregated,662.100000,662.100000,76,91,100,100,110,120,120,130,1300,2600,2600,9680,9680,76,76.70527666353104,3.328333000354178,2559.0190209995853,136.0
1708633598,90,,Aggregated,664.800000,664.800000,79,97,100,110,120,120,130,140,400,2300,2600,10397,10397,79,79.90684571241553,3.328333000354178,2559.0190209995853,136.0
1708633599,95,,Aggregated,678.500000,678.500000,83,100,110,110,120,130,140,140,380,2300,2600,11120,11120,83,83.09416073219192,3.328333000354178,2559.0190209995853,136.0
1708633600,100,,Aggregated,682.100000,682.100000,87,100,110,120,130,140,150,150,380,2300,2600,11792,11792,87,86.63097189662359,3.328333000354178,2559.0190209995853,136.0
1708633601,105,,Aggregated,682.800000,682.800000,90,110,120,120,140,150,160,170,360,2300,2600,12440,12440,90,90.05702073786034,3.328333000354178,2559.0190209995853,136.0
1708633602,110,,Aggregated,687.700000,687.700000,94,110,120,130,140,150,160,170,350,2300,2600,13179,13179,94,93.2800613834105,3.328333000354178,2559.0190209995853,136.0
1708633603,115,,Aggregated,686.000000,686.000000,97,120,130,140,150,160,170,180,360,2300,2600,13864,13864,97,96.47297719856921,3.328333000354178,2559.0190209995853,136.0
1708633604,120,,Aggregated,692.800000,692.800000,100,120,130,140,160,170,180,180,350,2300,2600,14547,14547,100.0,99.88335890863914,3.328333000354178,2559.0190209995853,136.0
1708633605,125,,Aggregated,694.500000,694.500000,100,120,140,150,160,170,180,190,350,2300,2600,15292,15292,100.0,103.30359894205951,3.328333000354178,2559.0190209995853,136.0
1708633606,130,,Aggregated,697.200000,697.200000,100,130,140,150,170,180,190,200,360,2300,2600,15975,15975,100.0,106.72493453808863,3.328333000354178,2559.0190209995853,136.0
1708633607,135,,Aggregated,695.100000,695.100000,110,130,150,160,180,190,200,200,370,2300,2600,16645,16645,110.0,110.28355892538137,3.328333000354178,2559.0190209995853,136.0
1708633608,140,,Aggregated,695.300000,695.300000,110,140,150,160,180,200,210,230,370,2300,2600,17303,17303,110.0,113.74503267589307,3.328333000354178,2559.0190209995853,136.0
1708633609,145,,Aggregated,693.700000,693.700000,110,140,160,170,190,210,220,240,390,2300,2600,17945,17945,110.0,117.45471294694843,3.328333000354178,2559.0190209995853,136.0
1708633610,150,,Aggregated,692.500000,692.500000,120,150,160,170,200,210,230,240,390,2300,2600,18618,18618,120.0,121.00960757712856,3.328333000354178,2559.0190209995853,136.0
